CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
ACC	0.038263376	0.038263376	0.494789692	0.309471508	0.372644066	0.25797623	2.15E-08	0.341278747	0.420424919	0.396725791	0.006440263	0.547851936	2.43E-09
BLCA	0.010719788	0.010719788	0.972397291	0.059819549	0.006597628	0.002401063	4.82E-05	0.154971367	0.342181405	0.037396789	0.144058988	0.048317328	2.92E-05
BRCA	0.119487124	0.119487124	7.86E-01	0.015101247	0.661980368	0.9320977	5.42E-05	0.099653652	0.000628939	0.908042367	0.031385809	0.937711508	0.045045938
CESC	0.056351369	0.056351369	0.045692465	0.016746626	0.119237347	0.551703257	0.837545026	0.351127552	0.010692834	0.462769803	0.223006847	0.008531753	0.352553847
CHOL	0.58123074	0.58123074	5.95E-01	0.654693459	0.954144166	0.837335005	0.045724362	0.833757145	0.465718794	0.385283343	0.463283786	0.133721831	0.616464427
COAD	4.17E-06	4.17E-06	8.97E-01	8.27E-08	4.33E-06	0.003921956	0.010429917	0.414160133	2.79E-05	0.20606618	0.061124126	0.000187302	0.725648882
DLBC	0.164977085	0.164977085	0.694327986	0.459487063	0.312128639	0.631215818	0.709274525	0.983861432	0.758574295	0.14187037	0.464263634	0.132958285	0.172241853
ESCA	0.595224276	0.595224276	0.004603499	0.001882398	0.006143346	0.01433132	0.000198397	1.78E-07	2.89E-05	0.776873797	0.006421047	0.116461193	1.42E-11
GBM	0.798393313	0.798393313	0.0009115	0.651588575	0.084279184	4.03E-05	0.586347799	0.456667652	0.212306261	0.793680561	0.781072484	0.917020622	0.096639286
HNSC	0.133977112	0.133977112	0.098728735	5.51E-12	0.023708296	0.262145494	0.317838087	1.25E-07	0.85833302	0.29370933	0.055675274	4.32E-13	0.047209349
KICH	0.4767151	0.4767151	0.8440927	0.625098093	0.116679264	0.64571514	0.01857494	0.823686348	0.018420682	0.220741497	0.302160959	0.537602955	0.211969875
KIRC	5.78E-03	0.00577942	1.00E-02	1.14E-08	5.22E-13	2.86E-06	5.11E-14	3.20E-12	0.944593143	0.034083172	0.481388222	2.97E-06	0.045975667
KIRP	3.19E-02	0.03185857	5.69E-05	0.007278099	0.012032851	0.064584611	6.84E-05	0.004465751	0.419141565	0.923504795	0.625558669	0.000209112	0.00549324
LGG	0.000123693	0.000123693	0.007908575	2.12E-05	0.002949534	0.042333738	9.69E-08	0.911076532	0.84657283	0.014461478	0.248399942	0.007264768	1.72E-08
LIHC	1.94E-04	0.000193866	4.82E-03	0.001369991	0.002469503	0.42342935	1.20E-08	0.000155979	0.596053867	0.137587358	0.024695881	3.84E-09	1.81E-05
LUAD	2.32E-02	0.023199731	0.194972036	6.72E-07	0.000166013	0.012817482	0.004042581	5.26E-05	0.414865068	0.491388707	6.34E-06	3.63E-06	0.770381355
LUSC	8.53E-01	0.853491293	0.550053657	0.00068502	0.350775816	0.017128636	1.78E-09	0.000534398	0.025041694	0.056490948	2.16E-08	0.414413257	0.00301673
MESO	0.719740281	0.719740281	0.249846436	0.93181615	0.016151135	0.824668053	0.010301686	0.000754855	0.805749075	0.09857701	0.285720895	0.120786065	0.396492017
OV	0.328328309	0.328328309	0.196309845	0.543631809	0.895166098	0.135450637	0.720540285	0.281956803	0.022623321	0.307902681	0.673749314	0.329033541	0.067441265
PAAD	0.601378805	0.601378805	0.078846508	0.313176928	0.110509859	0.050421283	0.006464409	0.642527484	1.61E-05	0.377949204	6.94E-06	0.79746563	9.72E-11
PCPG	0.787307633	0.787307633	0.234207744	0.891389671	0.065047403	0.276693812	0.013696441	0.020215113	0.771090961	0.909082325	0.612193136	0.593517825	0.186719956
PRAD	2.00E-06	2.00E-06	0.047915887	2.09E-14	6.79E-06	0.647350479	0.000465785	0.79384131	0.696745673	2.18E-10	0.908373068	0.0016581	0.000931562
READ	0.73973647	0.73973647	0.42746333	0.902799526	0.802620041	0.175538862	0.217976504	0.93887867	0.190295292	0.009700118	0.599684227	0.755029251	0.366176766
SARC	0.031082453	0.031082453	0.077978729	0.631575218	0.003136957	0.009454271	0.014266206	0.022073209	0.00056495	0.002954164	0.083732718	0.001588466	0.675396954
SKCM	0.373645381	0.373645381	0.055221865	0.073371438	0.00193654	0.815177573	0.067548175	0.217369569	0.141475262	0.743400974	0.022476882	0.336045747	0.751198684
STAD	0.331669913	0.331669913	8.71E-01	0.016292517	0.103168048	0.000482104	0.048408271	0.047912672	0.023810791	0.35683266	0.000273431	0.014183374	0.007614889
TGCT	0.330328618	0.330328618	0.561497122	0.011327412	0.358792741	0.66089684	0.087377444	0.007077816	0.19246061	0.174282373	0.091346061	0.039364708	0.300273418
THCA	1.27E-02	0.012745538	6.47E-02	8.53E-18	7.36E-10	0.10847439	7.17E-07	3.49E-05	0.049180557	0.160823224	1.59E-07	2.04E-06	0.591960593
THYM	9.20E-10	9.20E-10	1.86E-05	1.07E-06	1.30E-06	0.009661774	1.74E-08	0.025934983	3.23E-06	0.004918	0.523569449	4.40E-05	0.017552286
UCEC	0.01687951	0.01687951	0.571189186	0.797220331	0.672925276	0.191733967	0.94735398	0.012696448	0.922650215	0.085470683	0.494314539	0.900116119	0.019786304
UCS	0.057189168	0.057189168	0.284553441	0.538594031	0.78550229	0.188656046	0.709648907	0.771300473	0.182058017	0.957685525	0.717376884	0.148101843	0.754975859
UVM	0.436551187	0.436551187	0.629942368	0.612185518	0.127321087	0.235461012	0.007347523	0.004156479	0.119120031	0.137365408	0.845255104	0.269750906	0.741817365
