CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
ACC	0.117395751	0.215772308	0.150723286	0.129248746	0.173744494	-0.018075378	0.135485658	-0.144665821	0.207795427	0.234293695	0.238148663	0.168496211	0.155560699
BLCA	-0.004555378	0.085556553	-0.030940993	0.083550948	-0.022437629	-0.114778979	0.004940357	-0.112269065	-0.087844464	-0.031449965	-0.22841811	-0.221456601	0.183746385
BRCA	0.101515741	0.185352487	-0.126617532	0.028667262	0.001533352	-0.343580371	-0.198057535	-0.04221473	0.224068403	0.23575387	0.20165049	0.075805119	0.004903455
CESC	0.117469855	0.021421468	-0.094538319	0.114509352	0.278900436	-0.14131788	0.130206941	-0.005800881	0.054312898	0.271541622	0.163058026	-0.268521763	-0.065812569
CHOL	0.549243283	0.547202942	0.703612107	0.346987294	0.611071855	-0.355982695	0.225225225	0.539674369	0.138738739	0.496392165	0.3997426	0.424818013	-0.175899288
COAD	0.252923859	0.224037512	0.274169573	0.268643521	0.342788886	-0.323711068	0.017410766	0.346713453	0.326372239	0.354354604	0.434214504	0.196808261	-0.269503723
DLBC	0.039766781	-0.203008552	0.357179896	0.116850116	-0.241323258	-0.131842484	0.220690404	0.097909475	0.322839774	0.272362136	0.403929657	0.195266368	-0.111728359
ESCA	-0.081548632	-0.178619557	-0.164617461	-0.065842812	0.200295017	0.165465946	0.280701206	-0.486006385	-0.075208519	0.097684843	-0.027389173	-0.129790415	0.425738506
GBM	-0.143234339	-0.064232314	-0.046624725	-0.195644378	-0.062594116	-0.272050513	-0.193356213	0.057175115	0.283930317	0.114099795	0.195864156	-0.167308344	-0.215177919
HNSC	0.147097989	-0.166291842	-0.068256854	-0.011789117	-0.013316394	-0.385508538	0.111013021	-0.086188422	-0.025386504	-0.053004544	-0.000938243	-0.057232364	0.142728605
KICH	-0.236706941	0.131381571	0.20532845	-0.104388443	0.258869584	-0.208066301	0.299190024	0.012199686	0.463980795	0.30613949	0.158751696	0.163640126	0.122586729
KIRC	0.408197794	0.41912556	0.200510037	0.42059388	0.436229861	-0.023915895	0.140568389	0.167073778	0.305170031	0.34614548	0.213566851	0.261617179	-0.120585008
KIRP	0.284120629	0.357592171	0.329550673	0.284830622	0.331162909	-0.359798127	0.214461366	0.234250557	0.344053137	0.36053273	0.218656765	0.068847838	-0.065332924
LGG	0.082295595	0.304294169	0.069165539	0.210110178	0.168020832	-0.268112501	0.04313891	0.017696705	-0.029638498	0.269535866	0.330252945	0.203193334	0.002448865
LIHC	0.226767525	0.208220426	0.230848028	0.236260774	0.322116431	-0.172852108	0.037083994	0.111531398	0.264922048	0.316236779	0.295869778	0.122419592	-0.035024069
LUAD	0.26179863	0.109442544	0.139770279	0.268290938	0.342445482	-0.136567685	-0.131078116	0.115125564	-0.020723512	0.19251447	0.336697992	0.198402457	-0.125719067
LUSC	-0.241154119	-0.260854771	-0.144974104	-0.306852424	-0.332537754	-0.068024118	0.112012215	-0.154689653	-0.223319608	-0.149107892	-0.159602262	-0.216725186	0.243418078
MESO	-0.074883581	0.334652245	0.278268065	0.077800573	0.275838093	-0.345275344	0.15706396	0.104154728	0.024130641	0.154391529	0.220274112	0.125678199	0.097159276
OV	-0.003690465	0.078169882	0.025139503	0.003185721	-0.019819605	-0.043131368	-0.03042999	0.060296245	-0.057522556	-0.053260134	-0.025932731	-0.100989274	0.093083201
PAAD	0.107025135	0.260025109	0.197140018	0.265990032	0.232738659	-0.156341338	0.077105474	0.166976483	0.146944113	0.205739695	0.25983303	0.184035401	0.142451741
PCPG	0.165692708	0.127810122	0.096057424	0.218984668	0.226800337	-0.187371354	-0.189343546	0.053513874	0.24258639	0.140658071	0.264291424	0.14745561	0.029110904
PRAD	0.277522133	0.312536313	0.16500266	0.360736354	0.238443068	-0.30761335	-0.236792942	-0.073310446	0.437773	0.274240902	0.293378267	0.506070144	-0.223882665
READ	0.000919525	0.281677185	0.262948302	0.091567647	0.152646174	-0.452416474	-0.240068779	0.280677561	0.343721214	0.182050032	0.25110086	0.197000392	-0.254230166
