CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
ACC	0.761171411	0.838963811	0.665814389	0.357266251	0.263341119	0.320530363	0.966355429	0.113978013	0.038466851	0.057093282	0.210365541	0.428353702	0.042897736
BLCA	0.002959639	0.004717331	0.055932096	0.028708642	0.026498899	0.765924814	0.012927895	0.666551832	0.27758135	0.00664034	0.017817847	0.36861353	0.286609321
BRCA	0.008040809	0.637350498	0.048850102	0.142294515	0.719914166	0.700049411	0.189615714	0.441819005	0.283124505	0.344783441	0.806619601	0.892565606	0.005001707
CESC	0.022976453	0.380676778	0.384647405	0.686894133	0.372517101	0.975230319	0.324167235	0.180237912	0.09584869	0.046564195	0.546917824	0.975014749	0.198599034
CHOL	0.693617509	0.977746076	0.98288739	0.979708402	0.76355555	0.70993331	0.725510091	0.874598962	0.067188682	0.74294946	0.128023854	0.009251574	0.094488543
COAD	0.9474868	0.723606061	0.099653113	0.398835149	0.870323956	0.027790376	0.376746532	0.422843171	0.079127832	0.898792519	0.234057305	0.157608146	0.392168967
DLBC	0.350586063	0.07568523	0.441891064	0.191383332	0.660202062	0.843191959	0.021827006	0.047048665	0.558923915	0.214516278	0.251523348	0.262619821	0.665087093
ESCA	0.385330405	0.390499381	0.13934348	0.619563841	0.021898028	0.227759128	0.392149996	0.800569267	0.075869428	0.848409196	0.849484831	0.713343732	0.009626462
GBM	0.46805288	0.925362698	0.115141359	0.864130302	0.002642755	0.020720022	0.046794629	0.144010416	0.140558744	0.240781736	0.021294808	0.768193596	0.058129331
HNSC	6.41E-13	4.12E-05	0.002031293	3.05E-11	0.720309396	0.008597069	0.004163208	3.54E-07	5.71E-05	2.80E-12	1.50E-11	0.826482811	0.027819279
KICH	0.510501459	0.020847813	0.034876987	0.00230931	0.000831959	0.584037722	0.851873818	0.460693251	0.31425333	0.228656952	0.020618334	0.036995315	0.485451639
KIRC	8.23E-08	0.001409432	0.740262453	5.30E-07	1.84E-05	0.809805138	0.556985155	0.02186622	0.095806384	0.002337664	1.37E-06	0.00974992	0.003385812
KIRP	0.087921819	0.632364422	0.634151475	0.970912102	0.484216181	0.031188825	0.446420729	0.471570371	9.90E-05	0.999763095	0.0067037	0.016191554	4.34E-14
LGG	0.000312955	0.015312557	0.40506153	0.001483297	0.001618841	6.53E-11	1.50E-11	0.086922687	1.35E-05	8.51E-07	1.00E-06	0.108711225	3.34E-14
LIHC	1.29E-11	0.172769928	1.12E-13	0.00348719	3.97E-12	0.080722257	0.010024956	3.55E-06	0.620512597	0.00114291	5.59E-06	2.92E-07	2.29E-07
LUAD	0.004752746	0.115892011	0.296841924	0.300555487	0.052217943	0.183767807	0.031315719	0.391674849	0.003305068	0.844768059	0.414542367	0.756509715	0.644405739
LUSC	0.178573343	0.123690185	0.097650517	0.470916784	0.257131309	0.002178459	0.795727884	0.00336392	0.616245414	0.024649872	0.298726704	0.870443376	0.649417608
MESO	0.040288335	0.148357317	0.999246205	0.015149581	0.647935111	0.728183296	0.108343724	0.480613039	0.524948908	0.137713443	0.328065433	0.209241046	0.001655367
OV	0.748860335	0.358248698	0.502640992	0.152757442	0.5931636	0.488004454	0.846789839	0.479030192	0.219523222	0.921467829	0.958533614	0.152260223	0.706290517
PAAD	0.002961077	0.136049264	0.224430388	0.058527047	0.108688629	0.17275442	0.052205512	0.306831697	0.19027082	0.017136255	0.099655827	0.666183978	0.483511945
PCPG	2.38E-05	0.785008343	0.075652636	0.324806535	0.000850982	0.013065403	0.408116006	0.048994025	0.309321674	0.099734051	0.04506153	0.593136574	0.063933012
PRAD	0.711108355	0.105260804	0.086339344	0.960632779	0.809959815	0.492559279	0.291829833	0.010798204	0.00014516	0.852118692	0.29929753	0.127681467	0.003741699
READ	0.399198044	0.811357929	0.347746473	0.574162343	0.225153331	0.738269643	0.977641347	0.143983788	0.235984504	0.648732486	0.107376476	0.25986913	0.1851897
SARC	0.149306925	0.215261542	0.03348991	0.551086411	0.000484554	0.145838337	2.03E-07	0.636303797	0.019237672	0.424919228	0.757501658	0.760317505	0.797698008
SKCM	0.000366184	1.02E-08	0.486010557	0.650313236	0.002020871	0.882794057	0.000108713	0.885249471	2.45E-17	0.088577199	0.024422015	0.004459524	0.014898365
STAD	0.19161466	0.00057322	0.07716957	0.09352417	0.000140114	3.52E-06	1.77E-06	0.202464544	7.73E-05	4.32E-05	0.147907854	0.522500081	0.466694323
TGCT	1.60E-06	0.088392821	0.139185	0.818438648	0.295646586	0.852381297	0.107890325	0.05837436	0.00028113	0.215503498	0.004057168	0.222164581	0.113293623
THCA	1.69E-05	0.889469287	0.023425765	4.78E-08	0.000484514	0.265049387	0.621384147	0.011378757	0.001574947	0.054434898	0.000850449	0.596584613	2.43E-08
THYM	3.85E-08	6.32E-19	4.38E-17	0.047160711	5.87E-21	9.27E-07	3.34E-20	0.018285518	6.33E-06	2.83E-07	3.41E-11	0.004416798	0.017684375
UCEC	0.821936004	0.168233211	0.013655093	0.73837375	0.555585187	0.878547982	0.365497235	0.30582525	0.189818514	0.965996846	0.186275961	0.483262113	1.96E-06
UCS	0.858088086	0.760763083	0.876746819	0.164940079	0.576929239	0.385903646	0.121508163	0.073128818	0.44631715	0.951948071	0.66356495	0.946722211	0.39644892
UVM	0.66036621	0.456168288	0.133545008	0.169420668	0.459461704	0.000172706	0.18804482	0.211691345	0.015522762	0.056942787	0.099960626	0.871924699	0.864293411
