CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
ACC	0.036186746	0.024199186	-0.051403801	0.109309855	0.13262369	0.117893738	0.005023437	-0.186582726	0.242809606	0.223712032	0.14834891	-0.094116394	0.237668575
BLCA	0.154515206	-0.147000337	0.099737901	-0.114045175	-0.115669072	0.015571219	-0.129473277	0.022535258	-0.056747042	-0.141266295	-0.123459713	-0.047001439	0.055694035
BRCA	0.084021081	0.014970104	0.062498911	0.046573271	0.011387221	-0.012234444	0.041639479	0.024422261	0.03407685	0.029996843	-0.007773909	-0.004289173	0.088965572
CESC	0.136597663	-0.052875039	0.052436266	-0.024324755	-0.053785593	0.001874037	0.059455258	0.080747783	0.100260564	0.119693127	0.03634621	0.001890352	0.077475606
CHOL	0.069016809	0.004892749	0.003762189	0.004461218	-0.05272653	0.065170192	0.061525635	0.027676434	0.312938093	-0.057475163	-0.262252756	-0.433667817	0.2870912
COAD	-0.003989854	-0.02142063	0.099496643	-0.051076667	-0.009888968	0.132696196	0.053507115	0.048524722	0.106061147	-0.007704636	-0.071992803	-0.085450152	0.042579227
DLBC	-0.149584358	0.280485309	0.123455599	0.20823527	0.070761469	-0.031870872	0.357299381	-0.311998075	-0.09397821	0.198047172	0.183222991	-0.179068129	0.069680297
ESCA	0.065090421	0.06438674	-0.110613745	0.037251256	0.170778162	0.090346659	0.064163217	0.018958859	0.132652335	-0.014346589	-0.014243566	-0.027568934	0.192502943
GBM	0.06250861	-0.008077575	0.135223935	-0.014754062	0.254940132	0.197476204	-0.170177645	0.125479025	0.126560601	0.100887616	0.196611496	-0.025409971	0.16228913
HNSC	0.316637861	-0.18375695	-0.138789631	0.29366223	-0.016182034	0.118349161	0.128975852	0.227139667	0.180411738	0.308103237	0.298055855	0.009907921	-0.099183426
KICH	0.083092877	0.286141588	0.26217705	0.371546275	0.404497093	-0.069169263	0.023615769	0.09310871	-0.126776123	0.151391249	0.286636379	0.259301797	0.0880622
KIRC	0.246538831	0.148279199	0.015480868	0.231043531	0.198053531	-0.011239625	-0.02742378	0.106765414	-0.077665273	0.141425374	0.222725608	0.12026495	0.136213137
KIRP	0.106454607	0.029922608	-0.029765698	-0.002281246	-0.043742858	0.134187308	-0.047606712	0.045016517	0.239984539	1.86E-05	-0.168403474	-0.149585049	0.447182054
LGG	0.164168367	-0.110860583	0.038169009	0.144966224	0.143817822	0.292917223	0.302185324	0.078383322	-0.197581661	0.222930869	0.221503844	-0.073459022	0.337546547
LIHC	0.353886203	0.07356819	0.385630598	0.156865083	0.362109856	0.094161691	0.138465702	0.246638889	0.026748888	0.174411437	0.241738026	0.271890844	0.274221559
LUAD	0.126963777	-0.070901533	0.047078153	-0.046718126	-0.0874876	0.059964431	-0.096985441	0.038662319	0.13206892	0.00884058	-0.036828486	-0.013999586	0.020837699
LUSC	0.061693863	0.070584634	0.075928862	0.033089558	0.051986859	0.140001267	0.011884059	0.134009246	0.023004714	0.102872846	0.047678256	-0.007487162	0.020865875
MESO	0.222931521	-0.158124193	-0.000104012	-0.262683822	0.050241358	0.038248877	0.175404668	0.077535095	-0.069905802	-0.162335021	-0.107363591	-0.137583294	0.336214682
OV	-0.020388685	0.05846507	-0.042676456	0.090883314	0.034018544	-0.044148615	0.012306021	0.045062959	0.078082507	-0.0062791	0.003311629	0.090993085	0.02399875
PAAD	0.225965956	0.114458603	0.093382263	0.144962327	0.123105639	0.10474353	0.148729344	0.078601625	0.100644931	0.182100325	0.126334481	0.033223882	0.053937804
PCPG	0.320732878	-0.021267106	0.13784705	-0.076656432	0.255735741	0.191716458	-0.06442909	0.152591014	0.079141415	-0.127819465	0.155304569	0.041639902	0.143696463
PRAD	0.018212076	0.079533985	-0.084190352	0.00242735	0.011825568	-0.033737815	0.051803454	-0.124869166	0.185214616	0.009167179	-0.051009595	-0.074806771	0.141850172
READ	-0.089942688	0.025511022	0.100126664	-0.060018362	-0.129123868	0.03570998	-0.002996083	-0.155249729	-0.126182568	-0.048668256	-0.170857058	0.120012413	0.113040507
SARC	0.0925906	-0.079616202	0.13617805	0.038346373	-0.221722018	0.093383706	-0.325270615	-0.030421801	0.149783087	-0.051311166	-0.019866604	-0.019628626	0.016493261
SKCM	0.165982355	-0.263855173	0.032669528	0.021261578	-0.144051309	0.006915256	-0.180055153	-0.006769367	0.382128421	-0.079752186	0.10526608	0.13279601	0.113838316
STAD	0.067221488	0.176102557	0.090894927	0.086270807	0.194375449	0.235639921	0.24255496	0.065615986	0.201614481	0.208459472	0.074468141	-0.032948636	0.037498787
TGCT	0.383778657	-0.141039006	-0.122558034	0.019094545	-0.086835593	0.015478918	-0.133150385	0.15649441	0.295379095	0.102762405	0.235681102	-0.101294804	0.131164731
THCA	0.193410652	0.00630725	-0.102588219	0.244017086	0.15736591	-0.050550041	0.022411999	0.114482743	0.14270253	0.087124213	0.150530703	-0.024019257	0.249152085
THYM	0.48537235	0.710125149	0.68264406	0.185505329	0.737143575	0.438894447	0.72746474	0.2197547	-0.407083044	-0.457059371	-0.568530843	-0.263627838	0.22087868
UCEC	0.024335413	-0.148191431	-0.262034519	-0.036110036	0.063678157	0.016524784	0.097632157	-0.110405491	0.141082473	-0.004610219	-0.142207261	-0.075708985	0.273754648
UCS	0.025157237	-0.042825381	0.021821684	0.193551426	0.078381089	0.121557261	0.215330153	0.248204422	0.106857573	-0.008479483	-0.061153612	-0.009402932	0.118900272
UVM	0.050874824	-0.086171441	-0.172508414	-0.158189023	-0.085544957	0.415315558	0.151627045	0.143940402	0.2749383	0.217901752	0.188868032	0.018675935	-0.019799101
